y	x	key	showSelected1
251.217149096051	1	1	1
251.217149096051	1	1	2
236.823146597092	2	2	2
251.217149096051	1	1	3
236.823146597092	2	2	3
223.028894202257	3	3	3
251.217149096051	1	1	4
236.823146597092	2	2	4
223.028894202257	3	3	4
209.834391911545	4	4	4
251.217149096051	1	1	5
236.823146597092	2	2	5
223.028894202257	3	3	5
209.834391911545	4	4	5
197.239639724956	5	5	5
251.217149096051	1	1	6
236.823146597092	2	2	6
223.028894202257	3	3	6
209.834391911545	4	4	6
197.239639724956	5	5	6
185.24463764249	6	6	6
251.217149096051	1	1	7
236.823146597092	2	2	7
223.028894202257	3	3	7
209.834391911545	4	4	7
197.239639724956	5	5	7
185.24463764249	6	6	7
173.849385664148	7	7	7
251.217149096051	1	1	8
236.823146597092	2	2	8
223.028894202257	3	3	8
209.834391911545	4	4	8
197.239639724956	5	5	8
185.24463764249	6	6	8
173.849385664148	7	7	8
163.053883789929	8	8	8
251.217149096051	1	1	9
236.823146597092	2	2	9
223.028894202257	3	3	9
209.834391911545	4	4	9
197.239639724956	5	5	9
185.24463764249	6	6	9
173.849385664148	7	7	9
163.053883789929	8	8	9
152.858132019833	9	9	9
251.217149096051	1	1	10
236.823146597092	2	2	10
223.028894202257	3	3	10
209.834391911545	4	4	10
197.239639724956	5	5	10
185.24463764249	6	6	10
173.849385664148	7	7	10
163.053883789929	8	8	10
152.858132019833	9	9	10
143.26213035386	10	10	10
251.217149096051	1	1	11
236.823146597092	2	2	11
223.028894202257	3	3	11
209.834391911545	4	4	11
197.239639724956	5	5	11
185.24463764249	6	6	11
173.849385664148	7	7	11
163.053883789929	8	8	11
152.858132019833	9	9	11
143.26213035386	10	10	11
134.265878792011	11	11	11
251.217149096051	1	1	12
236.823146597092	2	2	12
223.028894202257	3	3	12
209.834391911545	4	4	12
197.239639724956	5	5	12
185.24463764249	6	6	12
173.849385664148	7	7	12
163.053883789929	8	8	12
152.858132019833	9	9	12
143.26213035386	10	10	12
134.265878792011	11	11	12
125.869377334285	12	12	12
251.217149096051	1	1	13
236.823146597092	2	2	13
223.028894202257	3	3	13
209.834391911545	4	4	13
197.239639724956	5	5	13
185.24463764249	6	6	13
173.849385664148	7	7	13
163.053883789929	8	8	13
152.858132019833	9	9	13
143.26213035386	10	10	13
134.265878792011	11	11	13
125.869377334285	12	12	13
118.072625980683	13	13	13
251.217149096051	1	1	14
236.823146597092	2	2	14
223.028894202257	3	3	14
209.834391911545	4	4	14
197.239639724956	5	5	14
185.24463764249	6	6	14
173.849385664148	7	7	14
163.053883789929	8	8	14
152.858132019833	9	9	14
143.26213035386	10	10	14
134.265878792011	11	11	14
125.869377334285	12	12	14
118.072625980683	13	13	14
110.875624731203	14	14	14
251.217149096051	1	1	15
236.823146597092	2	2	15
